Dataset,Condition,Network,Delta_SDI,p_raw,p_fdr,Effect_Size_r,Significant_FDR
Anesthesia,Sedation vs Awake,Visual,-0.0029,0.7057,0.7057,-0.1176,No
Anesthesia,Sedation vs Awake,Somatomotor,+0.0324,0.6322,0.7057,0.1471,No
Anesthesia,Sedation vs Awake,DorsalAttn,-0.0186,0.3225,0.4515,-0.2941,No
Anesthesia,Sedation vs Awake,SalVentAttn,-0.0608,0.0110,0.0385,-0.7059,Yes
Anesthesia,Sedation vs Awake,Limbic,-0.0335,0.0290,0.0676,-0.6176,No
Anesthesia,Sedation vs Awake,FrontoParietal,-0.0589,0.0052,0.0361,-0.7647,Yes
Anesthesia,Sedation vs Awake,DefaultMode,-0.0406,0.1167,0.2042,-0.4559,No
Anesthesia,Unconscious vs Awake,Visual,-0.0015,0.7436,0.7436,0.1029,No
Anesthesia,Unconscious vs Awake,Somatomotor,+0.0244,0.3755,0.4380,0.2647,No
Anesthesia,Unconscious vs Awake,DorsalAttn,-0.0463,0.0092,0.0643,-0.7206,No
Anesthesia,Unconscious vs Awake,SalVentAttn,-0.0371,0.1046,0.1464,-0.4706,No
Anesthesia,Unconscious vs Awake,Limbic,-0.0254,0.0335,0.0783,-0.6029,No
Anesthesia,Unconscious vs Awake,FrontoParietal,-0.0541,0.0214,0.0749,-0.6471,No
Anesthesia,Unconscious vs Awake,DefaultMode,-0.0450,0.0654,0.1144,-0.5294,No
Schizophrenia,SCHZ vs CTRL,Visual,-0.0648,0.0019,0.0065,0.3616,Yes
Schizophrenia,SCHZ vs CTRL,Somatomotor,-0.0924,0.0004,0.0028,0.4112,Yes
Schizophrenia,SCHZ vs CTRL,DorsalAttn,-0.0260,0.0782,0.0912,0.2048,No
Schizophrenia,SCHZ vs CTRL,SalVentAttn,-0.0316,0.1845,0.1845,0.1544,No
Schizophrenia,SCHZ vs CTRL,Limbic,-0.0348,0.0058,0.0101,0.3208,Yes
Schizophrenia,SCHZ vs CTRL,FrontoParietal,-0.0362,0.0296,0.0415,0.2528,Yes
Schizophrenia,SCHZ vs CTRL,DefaultMode,-0.0739,0.0037,0.0087,0.3368,Yes
LSD,LSD vs PLB,Visual,+0.0054,0.8469,0.8469,0.0667,No
LSD,LSD vs PLB,Somatomotor,+0.0603,0.1688,0.3939,0.4167,No
LSD,LSD vs PLB,DorsalAttn,-0.0014,0.7615,0.8469,-0.1000,No
LSD,LSD vs PLB,SalVentAttn,-0.0087,0.3894,0.6815,-0.2667,No
LSD,LSD vs PLB,Limbic,-0.0069,0.6387,0.8469,-0.1500,No
LSD,LSD vs PLB,FrontoParietal,-0.0219,0.0413,0.1444,-0.6000,No
LSD,LSD vs PLB,DefaultMode,-0.0378,0.0353,0.1444,-0.6167,No
DMT,DMT vs PLB,Visual,-0.0057,0.7086,0.8266,-0.1053,No
DMT,DMT vs PLB,Somatomotor,+0.0184,0.2579,0.6018,0.3053,No
DMT,DMT vs PLB,DorsalAttn,-0.0047,0.6794,0.8266,-0.1158,No
DMT,DMT vs PLB,SalVentAttn,+0.0002,0.9217,0.9217,0.0316,No
DMT,DMT vs PLB,Limbic,-0.0175,0.0289,0.1728,-0.5684,No
DMT,DMT vs PLB,FrontoParietal,-0.0246,0.0494,0.1728,-0.5158,No
DMT,DMT vs PLB,DefaultMode,-0.0208,0.3955,0.6921,-0.2316,No
Modafinil,MOD vs PLB,Visual,+0.0252,0.5838,0.6840,0.1333,No
Modafinil,MOD vs PLB,Somatomotor,-0.0010,0.5838,0.6840,0.1333,No
Modafinil,MOD vs PLB,DorsalAttn,-0.0112,0.4559,0.6840,-0.1800,No
Modafinil,MOD vs PLB,SalVentAttn,+0.0116,0.6840,0.6840,0.1000,No
Modafinil,MOD vs PLB,Limbic,+0.0069,0.6033,0.6840,0.1267,No
Modafinil,MOD vs PLB,FrontoParietal,-0.0263,0.5646,0.6840,-0.1400,No
Modafinil,MOD vs PLB,DefaultMode,+0.0262,0.3449,0.6840,0.2267,No
